Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
534,1,1,,,,,,,,,,,,,,,,
535,0,,,,,,,,,,,,,,,,,
536,1,0,1,0,,,,,,,,,,,,,,
537,1,1,,,,,,,,,,,,,,,,
538,1,1,,,,,,,,,,,,,,,,
539,1,1,0,,,,,,,,,,,,,,,
540,1,1,,,,,,,,,,,,,,,,
541,1,1,1,1,,,,,,,,,,,,,,
542,0,1,,,,,,,,,,,,,,,,
543,1,,,,,,,,,,,,,,,,,
544,0,0,1,1,,,,,,,,,,,,,,
545,0,1,0,0,0,0,,,,,,,,,,,,
546,1,1,1,,,,,,,,,,,,,,,
547,0,1,1,1,1,0,0,,,,,,,,,,,
548,1,1,0,0,,,,,,,,,,,,,,
549,1,1,1,1,,,,,,,,,,,,,,
550,0,1,0,0,0,1,,,,,,,,,,,,
551,0,0,0,0,0,,,,,,,,,,,,,
552,0,0,0,0,0,0,,,,,,,,,,,,
553,1,1,1,,,,,,,,,,,,,,,
554,1,0,0,0,,,,,,,,,,,,,,
555,0,0,0,0,,,,,,,,,,,,,,
556,0,1,0,0,0,0,0,0,,,,,,,,,,
557,1,1,0,1,,,,,,,,,,,,,,
558,1,1,1,1,1,1,,,,,,,,,,,,
559,1,1,0,0,0,1,1,,,,,,,,,,,
560,1,1,1,0,0,0,0,0,,,,,,,,,,
561,1,1,0,1,1,,,,,,,,,,,,,
562,1,,,,,,,,,,,,,,,,,
563,1,1,1,,,,,,,,,,,,,,,
564,1,1,1,,,,,,,,,,,,,,,
565,0,0,1,0,0,,,,,,,,,,,,,
566,1,1,0,0,,,,,,,,,,,,,,
567,0,,,,,,,,,,,,,,,,,
568,1,0,1,0,0,,,,,,,,,,,,,
569,1,0,0,0,1,,,,,,,,,,,,,
570,1,1,1,1,,,,,,,,,,,,,,
571,0,0,0,0,,,,,,,,,,,,,,
572,1,,,,,,,,,,,,,,,,,
573,1,1,,,,,,,,,,,,,,,,
574,1,1,0,0,,,,,,,,,,,,,,
575,0,0,0,0,,,,,,,,,,,,,,
576,1,1,0,0,0,0,,,,,,,,,,,,
577,1,,,,,,,,,,,,,,,,,
578,1,1,0,0,,,,,,,,,,,,,,
579,1,0,,,,,,,,,,,,,,,,
580,1,1,1,0,,,,,,,,,,,,,,
581,1,1,,,,,,,,,,,,,,,,
582,0,0,0,,,,,,,,,,,,,,,
583,1,1,0,1,1,0,,,,,,,,,,,,
584,1,0,0,0,0,,,,,,,,,,,,,
585,1,0,1,0,0,0,0,0,0,0,0,,,,,,,
586,1,1,1,0,1,,,,,,,,,,,,,
587,1,1,1,1,1,0,0,0,,,,,,,,,,
588,1,,,,,,,,,,,,,,,,,
589,0,0,0,,,,,,,,,,,,,,,
590,1,1,1,1,0,1,0,,,,,,,,,,,
591,1,1,0,0,0,,,,,,,,,,,,,
592,1,0,0,0,,,,,,,,,,,,,,
593,1,1,1,0,0,,,,,,,,,,,,,
