Donor,cell_id,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18
2,195,0,0,0,0,0,,,,,,,,,,,,,
2,196,1,1,1,,,,,,,,,,,,,,,
2,197,0,,,,,,,,,,,,,,,,,
2,198,1,1,1,1,0,0,,,,,,,,,,,,
2,199,1,1,,,,,,,,,,,,,,,,
2,200,0,,,,,,,,,,,,,,,,,
2,201,1,0,,,,,,,,,,,,,,,,
2,202,0,,,,,,,,,,,,,,,,,
2,203,0,1,,,,,,,,,,,,,,,,
2,204,,,,,,,,,,,,,,,,,,
2,205,1,,,,,,,,,,,,,,,,,
2,206,0,,,,,,,,,,,,,,,,,
2,207,1,,,,,,,,,,,,,,,,,
2,208,1,,,,,,,,,,,,,,,,,
2,209,0,,,,,,,,,,,,,,,,,
2,210,,,,,,,,,,,,,,,,,,
2,211,0,0,0,,,,,,,,,,,,,,,
2,212,1,,,,,,,,,,,,,,,,,
2,213,1,,,,,,,,,,,,,,,,,
2,214,1,,,,,,,,,,,,,,,,,
2,215,1,,,,,,,,,,,,,,,,,
2,216,,,,,,,,,,,,,,,,,,
2,217,0,,,,,,,,,,,,,,,,,
2,218,1,,,,,,,,,,,,,,,,,
2,219,,,,,,,,,,,,,,,,,,
2,220,1,,,,,,,,,,,,,,,,,
3,0,1,1,1,1,1,0,0,0,,,,,,,,,,
3,1,1,0,,,,,,,,,,,,,,,,
3,2,1,1,1,,,,,,,,,,,,,,,
3,3,0,0,0,0,0,0,0,,,,,,,,,,,
3,4,1,1,1,0,,,,,,,,,,,,,,
3,5,1,1,,,,,,,,,,,,,,,,
3,6,1,,,,,,,,,,,,,,,,,
3,7,1,0,0,0,0,,,,,,,,,,,,,
3,8,1,1,,,,,,,,,,,,,,,,
3,9,1,1,0,,,,,,,,,,,,,,,
3,10,1,1,,,,,,,,,,,,,,,,
3,11,1,0,0,,,,,,,,,,,,,,,
3,12,1,1,,,,,,,,,,,,,,,,
3,13,1,1,1,1,1,1,1,,,,,,,,,,,
3,14,0,0,,,,,,,,,,,,,,,,
3,15,1,1,0,1,,,,,,,,,,,,,,
3,16,1,,,,,,,,,,,,,,,,,
3,17,1,0,1,,,,,,,,,,,,,,,
3,18,1,1,,,,,,,,,,,,,,,,
3,19,1,1,1,,,,,,,,,,,,,,,
3,20,1,0,,,,,,,,,,,,,,,,
3,21,1,,,,,,,,,,,,,,,,,
3,22,1,1,,,,,,,,,,,,,,,,
3,23,1,,,,,,,,,,,,,,,,,
3,24,1,0,0,,,,,,,,,,,,,,,
3,25,1,1,,,,,,,,,,,,,,,,
3,26,1,,,,,,,,,,,,,,,,,
3,27,1,1,1,,,,,,,,,,,,,,,
3,28,1,1,1,0,0,0,0,,,,,,,,,,,
3,29,1,1,1,0,,,,,,,,,,,,,,
3,30,1,,,,,,,,,,,,,,,,,
3,31,0,0,,,,,,,,,,,,,,,,
3,32,1,0,0,,,,,,,,,,,,,,,
3,33,0,0,0,,,,,,,,,,,,,,,
3,34,0,0,1,,,,,,,,,,,,,,,
3,35,1,1,,,,,,,,,,,,,,,,
3,36,1,1,0,0,0,,,,,,,,,,,,,
3,37,0,1,0,1,0,,,,,,,,,,,,,
3,38,1,,,,,,,,,,,,,,,,,
3,39,1,1,1,,,,,,,,,,,,,,,
3,40,1,1,0,,,,,,,,,,,,,,,
3,41,0,1,1,0,1,,,,,,,,,,,,,
3,42,1,1,1,0,0,0,0,,,,,,,,,,,
3,43,1,1,,,,,,,,,,,,,,,,
3,44,1,1,1,1,,,,,,,,,,,,,,
3,45,1,0,,,,,,,,,,,,,,,,
3,46,1,1,,,,,,,,,,,,,,,,
3,47,1,1,1,0,0,,,,,,,,,,,,,
3,48,1,1,1,0,0,0,,,,,,,,,,,,
3,49,1,,,,,,,,,,,,,,,,,
3,50,0,0,0,0,0,,,,,,,,,,,,,
3,51,0,1,1,1,,,,,,,,,,,,,,
3,52,1,1,1,1,,,,,,,,,,,,,,
3,53,1,1,1,1,0,,,,,,,,,,,,,
3,54,1,1,1,1,,,,,,,,,,,,,,
3,55,1,1,1,1,,,,,,,,,,,,,,
3,56,1,1,1,,,,,,,,,,,,,,,
3,57,1,1,1,1,0,,,,,,,,,,,,,
3,58,1,1,,,,,,,,,,,,,,,,
3,59,1,1,0,,,,,,,,,,,,,,,
3,60,0,,,,,,,,,,,,,,,,,
3,61,1,1,0,0,0,,,,,,,,,,,,,
3,62,1,1,1,,,,,,,,,,,,,,,
3,63,1,1,1,1,0,,,,,,,,,,,,,
3,64,1,1,1,1,,,,,,,,,,,,,,
3,65,1,0,0,,,,,,,,,,,,,,,
3,66,0,1,1,,,,,,,,,,,,,,,
3,67,0,0,0,0,0,,,,,,,,,,,,,
3,68,1,1,0,0,,,,,,,,,,,,,,
3,69,0,0,,,,,,,,,,,,,,,,
3,70,1,1,0,,,,,,,,,,,,,,,
3,71,1,1,1,,,,,,,,,,,,,,,
3,72,1,1,,,,,,,,,,,,,,,,
3,73,0,1,0,,,,,,,,,,,,,,,
3,74,1,0,,,,,,,,,,,,,,,,
3,75,1,,,,,,,,,,,,,,,,,
3,76,1,0,0,,,,,,,,,,,,,,,
3,77,1,,,,,,,,,,,,,,,,,
3,78,1,1,1,1,1,1,0,,,,,,,,,,,
3,79,1,1,1,0,0,0,,,,,,,,,,,,
3,80,1,1,1,0,,,,,,,,,,,,,,
3,81,1,1,,,,,,,,,,,,,,,,
3,82,1,1,,,,,,,,,,,,,,,,
3,83,0,,,,,,,,,,,,,,,,,
3,84,0,1,0,,,,,,,,,,,,,,,
3,85,0,0,1,,,,,,,,,,,,,,,
3,86,1,1,1,,,,,,,,,,,,,,,
3,87,1,,,,,,,,,,,,,,,,,
3,88,1,1,0,0,,,,,,,,,,,,,,
3,89,1,1,0,0,,,,,,,,,,,,,,
3,90,0,0,1,,,,,,,,,,,,,,,
3,91,1,,,,,,,,,,,,,,,,,
3,92,1,,,,,,,,,,,,,,,,,
3,93,1,1,1,1,,,,,,,,,,,,,,
3,94,1,1,0,,,,,,,,,,,,,,,
3,95,1,1,,,,,,,,,,,,,,,,
3,96,1,,,,,,,,,,,,,,,,,
3,97,1,1,,,,,,,,,,,,,,,,
3,98,1,1,0,0,,,,,,,,,,,,,,
3,99,1,1,0,,,,,,,,,,,,,,,
3,100,1,1,,,,,,,,,,,,,,,,
3,101,1,1,1,0,0,,,,,,,,,,,,,
3,102,1,1,,,,,,,,,,,,,,,,
3,103,1,1,0,0,,,,,,,,,,,,,,
3,104,1,1,0,0,0,,,,,,,,,,,,,
3,105,1,0,0,1,,,,,,,,,,,,,,
3,106,0,,,,,,,,,,,,,,,,,
3,107,,,,,,,,,,,,,,,,,,
3,108,0,0,0,0,0,0,0,,,,,,,,,,,
3,109,1,1,,,,,,,,,,,,,,,,
3,110,1,1,1,1,1,,,,,,,,,,,,,
3,111,1,1,0,,,,,,,,,,,,,,,
3,112,1,1,1,1,1,,,,,,,,,,,,,
3,113,1,1,,,,,,,,,,,,,,,,
3,114,1,,,,,,,,,,,,,,,,,
3,115,0,0,,,,,,,,,,,,,,,,
3,116,1,1,1,1,0,,,,,,,,,,,,,
3,117,1,,,,,,,,,,,,,,,,,
3,118,1,1,0,,,,,,,,,,,,,,,
3,119,1,1,1,0,0,,,,,,,,,,,,,
3,120,1,,,,,,,,,,,,,,,,,
3,121,1,1,1,,,,,,,,,,,,,,,
3,122,1,,,,,,,,,,,,,,,,,
3,123,1,,,,,,,,,,,,,,,,,
3,124,1,1,1,,,,,,,,,,,,,,,
3,125,1,1,,,,,,,,,,,,,,,,
3,126,1,0,,,,,,,,,,,,,,,,
3,127,1,0,0,0,0,,,,,,,,,,,,,
3,128,1,1,0,,,,,,,,,,,,,,,
3,129,0,1,0,1,,,,,,,,,,,,,,
3,130,1,1,1,0,1,0,,,,,,,,,,,,
3,131,0,,,,,,,,,,,,,,,,,
3,132,1,,,,,,,,,,,,,,,,,
3,133,1,,,,,,,,,,,,,,,,,
3,134,1,,,,,,,,,,,,,,,,,
3,135,1,,,,,,,,,,,,,,,,,
3,136,1,0,0,,,,,,,,,,,,,,,
3,137,1,1,0,0,,,,,,,,,,,,,,
3,138,1,0,0,1,0,,,,,,,,,,,,,
3,139,1,,,,,,,,,,,,,,,,,
3,140,1,1,0,0,,,,,,,,,,,,,,
3,141,1,1,1,1,0,,,,,,,,,,,,,
3,142,0,0,0,,,,,,,,,,,,,,,
3,143,1,1,,,,,,,,,,,,,,,,
3,144,1,1,1,1,,,,,,,,,,,,,,
3,145,1,1,1,,,,,,,,,,,,,,,
3,146,1,1,1,,,,,,,,,,,,,,,
3,147,,,,,,,,,,,,,,,,,,
3,148,1,1,0,0,,,,,,,,,,,,,,
3,149,,,,,,,,,,,,,,,,,,
3,150,0,0,1,1,0,0,0,0,,,,,,,,,,
3,151,1,0,0,0,,,,,,,,,,,,,,
3,152,1,0,0,0,0,0,,,,,,,,,,,,
3,153,1,1,1,0,0,0,0,,,,,,,,,,,
3,154,1,1,0,0,0,0,0,0,,,,,,,,,,
3,155,1,1,1,0,,,,,,,,,,,,,,
