Cell,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,,,
320,1,0,1,1,1,0,0,,,,,,,,,,,
321,1,1,1,1,1,,,,,,,,,,,,,
322,1,1,1,1,1,0,1,,,,,,,,,,,
323,1,1,0,0,0,1,0,0,1,1,,,,,,,,
324,1,1,1,,,,,,,,,,,,,,,
325,1,,,,,,,,,,,,,,,,,
326,1,1,1,1,1,1,,,,,,,,,,,,
327,0,,,,,,,,,,,,,,,,,
328,1,1,1,,,,,,,,,,,,,,,
329,1,1,,,,,,,,,,,,,,,,
330,0,1,1,,,,,,,,,,,,,,,
331,1,1,1,1,,,,,,,,,,,,,,
332,1,1,0,,,,,,,,,,,,,,,
333,1,,,,,,,,,,,,,,,,,
334,1,1,1,1,1,1,,,,,,,,,,,,
335,1,1,1,1,1,,,,,,,,,,,,,
336,1,1,,,,,,,,,,,,,,,,
337,0,0,,,,,,,,,,,,,,,,
338,0,0,0,0,0,1,0,0,,,,,,,,,,
339,1,1,1,1,0,,,,,,,,,,,,,
340,1,1,1,,,,,,,,,,,,,,,
341,1,1,1,0,0,0,,,,,,,,,,,,
342,1,1,1,1,1,1,,,,,,,,,,,,
343,1,,,,,,,,,,,,,,,,,
344,1,,,,,,,,,,,,,,,,,
345,1,1,,,,,,,,,,,,,,,,
346,1,1,1,0,0,,,,,,,,,,,,,
347,0,1,1,1,1,0,,,,,,,,,,,,
348,,,,,,,,,,,,,,,,,,
349,1,,,,,,,,,,,,,,,,,
350,1,0,0,0,1,1,,,,,,,,,,,,
351,1,0,,,,,,,,,,,,,,,,
352,1,1,1,1,0,,,,,,,,,,,,,
353,0,0,0,,,,,,,,,,,,,,,
354,0,0,,,,,,,,,,,,,,,,
355,1,1,,,,,,,,,,,,,,,,
356,1,1,1,0,,,,,,,,,,,,,,
357,0,,,,,,,,,,,,,,,,,
358,1,1,1,1,,,,,,,,,,,,,,
359,1,,,,,,,,,,,,,,,,,
360,1,1,1,1,1,,,,,,,,,,,,,
361,1,1,,,,,,,,,,,,,,,,
362,1,1,,,,,,,,,,,,,,,,
363,1,1,,,,,,,,,,,,,,,,
364,1,,,,,,,,,,,,,,,,,
365,0,0,1,,,,,,,,,,,,,,,
366,1,,,,,,,,,,,,,,,,,
367,1,,,,,,,,,,,,,,,,,
368,1,1,,,,,,,,,,,,,,,,
369,,,,,,,,,,,,,,,,,,
370,0,,,,,,,,,,,,,,,,,
371,1,1,1,,,,,,,,,,,,,,,
372,1,1,1,1,,,,,,,,,,,,,,
373,1,1,1,,,,,,,,,,,,,,,
374,1,1,1,,,,,,,,,,,,,,,
375,1,1,0,1,,,,,,,,,,,,,,
376,1,0,,,,,,,,,,,,,,,,
377,0,1,,,,,,,,,,,,,,,,
378,1,1,,,,,,,,,,,,,,,,
379,1,1,,,,,,,,,,,,,,,,
380,1,1,,,,,,,,,,,,,,,,
381,1,1,,,,,,,,,,,,,,,,
382,1,1,1,,,,,,,,,,,,,,,
383,1,1,1,,,,,,,,,,,,,,,
384,1,1,,,,,,,,,,,,,,,,
385,1,,,,,,,,,,,,,,,,,
386,1,1,,,,,,,,,,,,,,,,
387,1,0,1,,,,,,,,,,,,,,,
388,1,1,1,,,,,,,,,,,,,,,
389,1,1,,,,,,,,,,,,,,,,
390,,,,,,,,,,,,,,,,,,
391,,,,,,,,,,,,,,,,,,
392,,,,,,,,,,,,,,,,,,
393,0,1,1,1,,,,,,,,,,,,,,
394,1,1,1,1,,,,,,,,,,,,,,
395,1,1,1,1,,,,,,,,,,,,,,
396,1,1,0,,,,,,,,,,,,,,,
397,1,,,,,,,,,,,,,,,,,
398,1,1,1,,,,,,,,,,,,,,,
399,1,1,0,,,,,,,,,,,,,,,
400,1,1,1,1,,,,,,,,,,,,,,
401,1,1,,,,,,,,,,,,,,,,
402,1,1,1,,,,,,,,,,,,,,,
403,1,,,,,,,,,,,,,,,,,
404,1,,,,,,,,,,,,,,,,,
405,1,,,,,,,,,,,,,,,,,
406,1,1,,,,,,,,,,,,,,,,
407,1,,,,,,,,,,,,,,,,,
408,0,0,,,,,,,,,,,,,,,,
409,1,1,1,1,,,,,,,,,,,,,,
410,1,1,1,,,,,,,,,,,,,,,
411,1,1,,,,,,,,,,,,,,,,
412,1,1,1,,,,,,,,,,,,,,,
413,0,0,0,1,,,,,,,,,,,,,,
414,1,0,0,0,1,1,,,,,,,,,,,,
415,,,,,,,,,,,,,,,,,,
416,,,,,,,,,,,,,,,,,,
417,0,0,0,,,,,,,,,,,,,,,
418,1,1,,,,,,,,,,,,,,,,
419,1,,,,,,,,,,,,,,,,,
420,1,1,,,,,,,,,,,,,,,,
421,1,0,1,0,0,0,,,,,,,,,,,,
422,1,1,0,0,0,0,0,0,0,0,,,,,,,,
423,1,1,0,0,0,0,,,,,,,,,,,,
424,1,1,1,1,0,0,0,0,0,0,,,,,,,,
425,1,1,1,0,,,,,,,,,,,,,,
426,1,1,1,0,,,,,,,,,,,,,,
427,1,1,0,,,,,,,,,,,,,,,
428,1,0,0,0,1,1,1,0,0,,,,,,,,,
429,1,1,0,0,0,,,,,,,,,,,,,
430,1,1,1,1,1,,,,,,,,,,,,,
431,1,1,0,0,0,,,,,,,,,,,,,
432,0,1,0,0,,,,,,,,,,,,,,
433,0,0,1,0,0,,,,,,,,,,,,,
434,1,0,,,,,,,,,,,,,,,,
435,0,,,,,,,,,,,,,,,,,
436,1,1,1,1,1,1,0,0,,,,,,,,,,
437,1,1,1,1,1,1,1,,,,,,,,,,,
438,1,1,1,1,1,1,,,,,,,,,,,,
439,1,1,0,0,,,,,,,,,,,,,,
440,1,1,1,1,,,,,,,,,,,,,,
441,1,1,0,0,1,,,,,,,,,,,,,
442,1,1,1,1,1,1,,,,,,,,,,,,
443,1,1,0,0,,,,,,,,,,,,,,
444,1,1,0,1,0,,,,,,,,,,,,,
445,1,1,1,1,1,,,,,,,,,,,,,
446,1,1,,,,,,,,,,,,,,,,
447,1,1,0,0,,,,,,,,,,,,,,
448,1,1,1,0,0,,,,,,,,,,,,,
449,1,1,1,1,1,1,1,,,,,,,,,,,
450,1,1,1,1,1,,,,,,,,,,,,,
451,1,1,1,,,,,,,,,,,,,,,
452,1,1,0,,,,,,,,,,,,,,,
453,1,1,,,,,,,,,,,,,,,,
454,1,1,1,,,,,,,,,,,,,,,
455,1,1,1,1,1,1,1,1,,,,,,,,,,
456,1,1,1,1,1,,,,,,,,,,,,,
457,0,0,0,1,,,,,,,,,,,,,,
458,1,1,0,1,0,0,,,,,,,,,,,,
459,1,1,0,0,0,,,,,,,,,,,,,
460,1,1,,,,,,,,,,,,,,,,
461,1,1,1,1,0,0,,,,,,,,,,,,
462,1,1,,,,,,,,,,,,,,,,
463,1,1,1,1,0,0,,,,,,,,,,,,
464,1,1,1,1,,,,,,,,,,,,,,
465,1,1,,,,,,,,,,,,,,,,
466,1,1,0,0,0,0,,,,,,,,,,,,
467,1,1,1,0,1,,,,,,,,,,,,,
468,1,0,,,,,,,,,,,,,,,,
469,1,1,1,1,,,,,,,,,,,,,,
470,1,1,0,,,,,,,,,,,,,,,
471,1,1,1,1,1,,,,,,,,,,,,,
472,1,1,1,1,,,,,,,,,,,,,,
473,1,1,0,0,0,,,,,,,,,,,,,
474,1,1,,,,,,,,,,,,,,,,
475,1,1,1,1,,,,,,,,,,,,,,
476,1,1,,,,,,,,,,,,,,,,
477,1,,,,,,,,,,,,,,,,,
478,1,1,1,1,1,,,,,,,,,,,,,
